,year,month,article,qid,monthly_pageviews
0,2024,1,The Twelve Days of Christmas,Q112577,41500.0
1,2024,1,Leave the World Behind,Q23056,30525.0
2,2024,1,American Pie,Q466255,27442.0
3,2024,1,Hello,Q21172725,27276.0
4,2024,1,Hallelujah,Q969635,24706.0
5,2024,1,Zombie,Q169298,23699.0
6,2024,1,Gloria,Q2991794,23242.0
7,2024,1,Gloria,Q3772414,23027.0
8,2024,1,Don't Give Up on Us,Q5291632,22707.0
9,2024,1,Low,Q1579259,22054.0
10,2024,1,Tennessee Whiskey,Q3518110,21651.0
11,2024,1,Yeah!,Q744297,21552.0
12,2024,1,Cruel Summer,Q67184416,18684.0
13,2024,1,Hiss,Q124363248,18311.0
14,2024,1,Now and Then,Q3293037,18255.0
15,2024,1,I,Q18208944,17429.0
16,2024,1,Water,Q123169436,16257.0
17,2024,1,Selfish,Q124369154,15880.0
18,2024,1,Erika,Q700867,15130.0
19,2024,1,Silver Springs,Q7516352,15102.0
20,2024,1,Wagon Wheel,Q7959653,15036.0
21,2024,1,Money for Nothing,Q1165404,14668.0
22,2024,1,American Idiot,Q241339,14297.0
23,2024,1,Imagine,Q1971,14292.0
24,2024,1,WAP,Q98066028,13975.0
25,2024,1,Houdini,Q123273186,13658.0
26,2024,1,Rasputin,Q3503685,13284.0
27,2024,1,Y.M.C.A.,Q592696,13204.0
28,2024,1,Hurt,Q1142043,13096.0
29,2024,1,Flowers,Q115945493,12984.0
30,2024,1,Not My Fault,Q124353181,12731.0
31,2024,1,Bad Blood,Q19892111,12629.0
32,2024,1,FTCU,Q123990023,12267.0
33,2024,1,Champagne Problems,Q104296021,12120.0
34,2024,1,Edelweiss,Q2735688,12014.0
35,2024,1,Everybody,Q123990059,11837.0
36,2024,1,Dixie,Q1231722,11663.0
37,2024,1,What's Up?,Q2604122,11622.0
38,2024,1,Creep,Q863433,11436.0
39,2024,1,Copacabana,Q1130943,11381.0
40,2024,1,Anti-Hero,Q114721508,11369.0
41,2024,1,Respect,Q2030651,11365.0
42,2024,1,Facts,Q124550519,11273.0
43,2024,1,Stan,Q312122,11204.0
44,2024,1,J Christ,Q124256479,11077.0
45,2024,1,Lose Control,Q122332978,11049.0
46,2024,1,Paint the Town Red,Q121167968,10949.0
47,2024,1,...Baby One More Time,Q155016,10821.0
48,2024,1,Crazy,Q5183105,10769.0
49,2024,1,Love Story,Q1764379,10590.0
50,2024,1,Big Foot,Q124385775,10349.0
51,2024,1,Redrum,Q124317039,10323.0
52,2024,1,Stand by Me,Q1513654,10186.0
53,2024,1,No,Q23004224,10165.0
54,2024,1,Helter Skelter,Q1057533,10125.0
55,2024,1,Greedy,Q122662730,10022.0
56,2024,1,Ode to Billie Joe,Q2078402,10018.0
57,2024,1,Africa,Q383842,9897.0
58,2024,1,I Can Only Imagine,Q5976590,9868.0
59,2024,1,Drivers License,Q104774451,9772.0
60,2024,1,MacArthur Park,Q4357239,9770.0
61,2024,1,Jeremy,Q1786535,9740.0
62,2024,1,Baby,Q1647391,9696.0
63,2024,1,Toxic,Q379751,9690.0
64,2024,1,Unwritten,Q999593,9587.0
65,2024,1,La Bamba,Q641677,9582.0
66,2024,1,White Rabbit,Q1138361,9559.0
67,2024,1,Dreams,Q2311707,9487.0
68,2024,1,Believe,Q2639231,9414.0
69,2024,1,The Man Who Sold the World,Q2341319,9149.0
70,2024,1,Kokomo,Q1742084,9109.0
71,2024,1,Alouette,Q1138836,9107.0
72,2024,1,Landslide,Q3392431,9032.0
73,2024,1,Buddy Holly,Q578498,9018.0
74,2024,1,Jolene,Q1573997,8982.0
75,2024,1,Vampire,Q119451063,8970.0
76,2024,1,Thriller,Q380825,8852.0
77,2024,1,All Star,Q1404968,8754.0
78,2024,1,Like a Prayer,Q1420677,8749.0
79,2024,1,Tik Tok,Q164100,8718.0
80,2024,1,I'll Be Seeing You,Q720569,8701.0
81,2024,1,Barracuda,Q3635151,8700.0
82,2024,1,Poker Face,Q153029,8670.0
83,2024,1,Let It Be,Q184259,8633.0
84,2024,1,Tutti Frutti,Q2001828,8540.0
85,2024,1,Paper Planes,Q2721073,8441.0
86,2024,1,Runaway,Q2664309,8398.0
87,2024,1,Iris,Q1932351,8397.0
88,2024,1,Something,Q210485,8392.0
89,2024,1,Islands in the Stream,Q1163515,8387.0
90,2024,1,Shallow,Q56770393,8357.0
91,2024,1,Time After Time,Q1808348,8288.0
92,2024,1,Lola,Q2706015,8281.0
93,2024,1,The Hanging Tree,Q18601898,8207.0
94,2024,1,The Boys of Summer,Q964737,8115.0
95,2024,1,Blue Monday,Q885777,8010.0
96,2024,1,Purple Rain,Q2000445,8001.0
97,2024,1,Vogue,Q1128775,7982.0
98,2024,1,Blackbird,Q880719,7980.0
99,2024,1,Jump,Q720547,7940.0
100,2024,1,Too Close,Q3993337,7917.0
101,2024,1,Kiss Me,Q2291989,7766.0
102,2024,1,Never Enough,Q106899363,7733.0
103,2024,1,Push,Q2889279,7691.0
104,2024,1,Informer,Q3798619,7608.0
105,2024,1,Hound Dog,Q865095,7532.0
106,2024,1,Wind of Change,Q157355,7510.0
107,2024,1,Without You,Q698481,7501.0
108,2024,1,Better Place,Q122890867,7372.0
109,2024,1,Dream On,Q686850,7357.0
110,2024,1,Happy,Q15275920,7352.0
111,2024,1,This Is America,Q52808665,7337.0
112,2024,1,I Remember Everything,Q121972390,7304.0
113,2024,1,Baker Street,Q804380,7287.0
114,2024,1,1985,Q4391031,7276.0
115,2024,1,Alfie,Q1895177,7273.0
116,2024,1,Betty,Q97929991,7257.0
117,2024,1,The Final Countdown,Q1165771,7254.0
118,2024,1,I'll Be There for You,Q2006198,7217.0
119,2024,1,Snooze,Q117842122,7098.0
120,2024,1,Waterfalls,Q1121052,7067.0
121,2024,1,O.P.P.,Q7072070,6977.0
122,2024,1,Electric Avenue,Q2688110,6966.0
123,2024,1,It's My Life,Q1675420,6951.0
124,2024,1,There She Goes,Q2736391,6949.0
125,2024,1,Karma,Q114805013,6897.0
126,2024,1,Can't Get Enough,Q124289776,6877.0
127,2024,1,Black Velvet,Q880611,6840.0
128,2024,1,Ring of Fire,Q1473718,6818.0
129,2024,1,Last Night,Q116824945,6801.0
130,2024,1,Deja Vu,Q106291700,6799.0
131,2024,1,Bridge over Troubled Water,Q913700,6782.0
132,2024,1,22,Q720620,6773.0
133,2024,1,Boulevard of Broken Dreams,Q1641812,6768.0
134,2024,1,Tim McGraw,Q2076570,6753.0
135,2024,1,Holiday,Q2089407,6681.0
136,2024,1,Voilà,Q105137334,6653.0
137,2024,1,Popular,Q118979027,6617.0
138,2024,1,Feliz Navidad,Q867806,6578.0
139,2024,1,Happy Together,Q2733482,6515.0
140,2024,1,Tom Sawyer,Q2630950,6490.0
141,2024,1,Famous,Q23647071,6428.0
142,2024,1,Stick Season,Q123418409,6411.0
143,2024,1,Kill Bill,Q115706733,6410.0
144,2024,1,Get Lucky,Q11510350,6405.0
145,2024,1,Clint Eastwood,Q770786,6391.0
146,2024,1,Roxanne,Q1631268,6340.0
147,2024,1,The Sign,Q638334,6336.0
148,2024,1,Piano Man,Q1813850,6296.0
149,2024,1,Down Under,Q1253170,6288.0
150,2024,1,Thank You,Q1635376,6271.0
151,2024,1,Starships,Q903409,6265.0
