,year,month,article,qid,monthly_pageviews,genre,artist
0,2024,1,The Twelve Days of Christmas,Q112577,41500.0,Christmas carol,Connie Francis
1,2024,1,Leave the World Behind,Q23056,30525.0,house music,Axwell
2,2024,1,American Pie,Q466255,27442.0,popular music,Don McLean
3,2024,1,Hello,Q21172725,27276.0,soul,Adele
4,2024,1,Hallelujah,Q969635,24706.0,popular music,Leonard Cohen
5,2024,1,Zombie,Q169298,23699.0,pop rock,The Cranberries
6,2024,1,Gloria,Q2991794,23242.0,garage rock,Them
7,2024,1,Gloria,Q3772414,23027.0,pop music,Umberto Tozzi
8,2024,1,Don't Give Up on Us,Q5291632,22707.0,soft rock,David Soul
9,2024,1,Low,Q1579259,22054.0,crunk,Flo Rida
10,2024,1,Tennessee Whiskey,Q3518110,21651.0,country music,George Jones
11,2024,1,Yeah!,Q744297,21552.0,crunk&B,Usher
12,2024,1,Cruel Summer,Q67184416,18684.0,synth-pop,Taylor Swift
13,2024,1,Hiss,Q124363248,18311.0,hip-hop,Megan Thee Stallion
14,2024,1,Now and Then,Q3293037,18255.0,rock music,John Lennon
15,2024,1,I,Q18208944,17429.0,hip-hop,Kendrick Lamar
16,2024,1,Water,Q123169436,16257.0,contemporary R&B,Tyla
17,2024,1,Selfish,Q124369154,15880.0,,Justin Timberlake
18,2024,1,Erika,Q700867,15130.0,march,
19,2024,1,Silver Springs,Q7516352,15102.0,,Fleetwood Mac
20,2024,1,Wagon Wheel,Q7959653,15036.0,country music,Old Crow Medicine Show
21,2024,1,Money for Nothing,Q1165404,14668.0,rock music,Dire Straits
22,2024,1,American Idiot,Q241339,14297.0,punk rock,Green Day
23,2024,1,Imagine,Q1971,14292.0,pop music,John Lennon
24,2024,1,WAP,Q98066028,13975.0,hip-hop,Q29033668
25,2024,1,Houdini,Q123273186,13658.0,nu-disco,Dua Lipa
26,2024,1,Rasputin,Q3503685,13284.0,pop music,Boney M.
27,2024,1,Y.M.C.A.,Q592696,13204.0,disco,Village People
28,2024,1,Hurt,Q1142043,13096.0,alternative rock,Nine Inch Nails
29,2024,1,Flowers,Q115945493,12984.0,pop music,Miley Cyrus
30,2024,1,Not My Fault,Q124353181,12731.0,disco,Reneé Rapp
31,2024,1,Bad Blood,Q19892111,12629.0,pop music,Taylor Swift
32,2024,1,FTCU,Q123990023,12267.0,trap music,Nicki Minaj
33,2024,1,Champagne Problems,Q104296021,12120.0,ballad,Taylor Swift
34,2024,1,Edelweiss,Q2735688,12014.0,,Theodore Bikel
35,2024,1,Everybody,Q123990059,11837.0,hip-hop,Nicki Minaj
36,2024,1,Dixie,Q1231722,11663.0,traditional folk song,
37,2024,1,What's Up?,Q2604122,11622.0,alternative rock,4 Non Blondes
38,2024,1,Creep,Q863433,11436.0,alternative rock,Radiohead
39,2024,1,Copacabana,Q1130943,11381.0,popular music,Barry Manilow
40,2024,1,Anti-Hero,Q114721508,11369.0,pop rock,Taylor Swift
41,2024,1,Respect,Q2030651,11365.0,soul,Otis Redding
42,2024,1,Facts,Q124550519,11273.0,trap music,Tom MacDonald
43,2024,1,Stan,Q312122,11204.0,horrorcore,Eminem
44,2024,1,J Christ,Q124256479,11077.0,,Lil Nas X
45,2024,1,Lose Control,Q122332978,11049.0,soul,Teddy Swims
46,2024,1,Paint the Town Red,Q121167968,10949.0,,Doja Cat
47,2024,1,...Baby One More Time,Q155016,10821.0,pop music,Britney Spears
48,2024,1,Crazy,Q5183105,10769.0,popular music,Patsy Cline
49,2024,1,Love Story,Q1764379,10590.0,popular music,Taylor Swift
50,2024,1,Big Foot,Q124385775,10349.0,hip-hop,Nicki Minaj
51,2024,1,Redrum,Q124317039,10323.0,trap music,21 Savage
52,2024,1,Stand by Me,Q1513654,10186.0,,Ben E. King
53,2024,1,No,Q23004224,10165.0,dance-pop,Meghan Trainor
54,2024,1,Helter Skelter,Q1057533,10125.0,hard rock,The Beatles
55,2024,1,Greedy,Q122662730,10022.0,pop music,Tate McRae
56,2024,1,Ode to Billie Joe,Q2078402,10018.0,country music,Bobbie Gentry
57,2024,1,Africa,Q383842,9897.0,pop music,Toto
58,2024,1,I Can Only Imagine,Q5976590,9868.0,Christian alternative rock,MercyMe
59,2024,1,Drivers License,Q104774451,9772.0,power pop,Olivia Rodrigo
60,2024,1,MacArthur Park,Q4357239,9770.0,orchestral pop,Richard Harris
61,2024,1,Jeremy,Q1786535,9740.0,grunge,Pearl Jam
62,2024,1,Baby,Q1647391,9696.0,contemporary R&B,Justin Bieber
63,2024,1,Toxic,Q379751,9690.0,dance-pop,Britney Spears
64,2024,1,Unwritten,Q999593,9587.0,pop music,Natasha Bedingfield
65,2024,1,La Bamba,Q641677,9582.0,pop rock,Ritchie Valens
66,2024,1,White Rabbit,Q1138361,9559.0,psychedelic rock,Jefferson Airplane
